Row,loading,p_value
ASC,-0.0988193321870603,0.245394361608911
EC,-0.0604278546929632,0.478181589474076
MG,-0.0210019588124541,0.805451720630416
OLG,0.33544573767024,5.08923906110251e-05
OPC,-0.0800533790677801,0.34710355383064
VLMC,-0.018263247431407,0.830411262505367
L2,0.135160814519727,0.111334901951792
L2_3,-0.0372428859461065,0.662209523589264
L2_3_4,0.0939824951684086,0.269379427455863
L3_4,-0.00152419702135856,0.98574027711164
L3_4_5,0.0166399099777598,0.845287731455444
L4,0.198139179080449,0.0189399138780342
L4_5,-0.502036647893117,2.62594311253908e-10
L4_5_6,0.171722118751087,0.0424865307154153
L5_6,-0.432066540459326,9.79578096928446e-08
L6,0.0357017516149276,0.675380500696644
LAMP5,-0.00430404592513853,0.95974800462422
PVALB,-0.109356793758432,0.198377633350367
PV_CHC,-0.136180787861031,0.10863692992801
RELN,-0.28981613985787,0.000514183990149777
SST,-0.161946208211764,0.0559233241022197
VIP,0.0073367796519555,0.931440335199879
VIP_RELN,-0.222943210211895,0.00810511458736531
