Row,r,p
L4,0.580183953989291,0.0002
OPC,0.587822925236265,0.0004
ASC,0.586750987234294,0.0008
PV_CHC,0.542216120015397,0.0058
RELN,0.586063242509819,0.0006
L4/OPC,0.579844082966435,0.0008
L4/PV_CHC,0.519377785628024,0.0086
L4/RELN,0.576248846459293,0.0008
L4/ASC,0.567138047000514,0.0016
OPC/PV_CHC,0.537087789559835,0.0044
OPC/RELN,0.585446237357981,0.0006
OPC/ASC,0.586534183257946,0.0004
PV_CHC/RELN,0.533884489876084,0.0052
PV_CHC/ASC,0.539796294231101,0.005
RELN/ASC,0.582026752899798,0.0006
L4/OPC/PV_CHC,0.506454829906063,0.0148
L4/OPC/RELN,0.576084669537324,0.0004
L4/PV_CHC/RELN,0.504837957822802,0.0152
OPC/PV_CHC/RELN,0.525999495169486,0.0054
L4/OPC/ASC,0.565328154965248,0.0002
L4/OPC/PV_CHC/RELN,0.483636861000078,0.0174
L4/OPC/PV_CHC/RELN/ASC,0.434800108961686,0.0896
