cell_type,Default Mode,Dorsal Attention,Frontoparietal,Limbic,SomatoMotor,Ventral Attention,Visual
ASC,0.1256375,0.8786,0.8341333333333334,0.31904285714285713,0.40940000000000004,0.060457142857142855,0.4738
EC,0.0713,0.8786,0.8341333333333334,0.31904285714285713,0.34385,0.8581090909090908,0.4738
MG,0.0,0.8786,0.8341333333333334,0.0,0.7188545454545454,0.041400000000000006,0.4738
OLG,0.1256375,0.8786,0.8341333333333334,0.3637066666666667,0.7188545454545454,0.5043764705882353,0.951
OPC,0.0184,0.8786,0.8341333333333334,0.0,0.7188545454545454,0.16376000000000002,0.24609999999999999
VLMC,0.00368,0.8786,0.8341333333333334,0.2622,0.7188545454545454,0.8658,0.5636769230769231
L2,0.7765238095238095,0.8786,0.8341333333333334,0.26634,0.8526,0.10465,0.0
L2_3,0.1256375,0.8786,0.5382,0.0046,0.40940000000000004,0.11806666666666665,0.0
L2_3_4,0.25009473684210526,0.8786,0.5382,0.04692,0.7188545454545454,0.6040526315789474,0.9427909090909091
L3_4,0.43148,0.8786,0.759,0.1163142857142857,0.34385,0.0046,0.5636769230769231
L3_4_5,0.25009473684210526,0.8786,0.97,0.31904285714285713,0.7188545454545454,0.6923,0.8549428571428571
L4,0.23811764705882354,0.8786,0.8341333333333334,0.7638421052631579,0.5776285714285714,0.25645,0.8472625
L4_5,0.08228888888888888,0.8786,0.8491181818181818,0.8604,0.7188545454545454,0.3212923076923077,0.8549428571428571
L4_5_6,0.8938,0.8786,0.8341333333333334,0.45846666666666663,0.7188545454545454,0.8581090909090908,0.5636769230769231
L5_6,0.00368,0.8786,0.8341333333333334,0.8604,0.7188545454545454,0.0,0.8472625
L6,0.1256375,0.8326000000000001,0.8341333333333334,0.04692,0.7188545454545454,0.0,0.5636769230769231
LAMP5,0.09276666666666666,0.8786,0.8341333333333334,0.36943750000000003,0.7188545454545454,0.25645,0.6141
PVALB,0.8888454545454545,0.8786,0.8341333333333334,0.8542200000000001,0.34385,0.48242500000000005,0.13799999999999998
PV_CHC,0.0115,0.8786,0.8341333333333334,0.43104705882352945,0.7188545454545454,0.6040526315789474,0.4738
RELN,0.0,0.8786,0.8341333333333334,0.18860000000000002,0.7188545454545454,0.04048,0.5636769230769231
SST,0.09276666666666666,0.9198,0.8341333333333334,0.31904285714285713,0.694025,0.00805,0.8479333333333332
VIP,0.0,0.8786,0.8341333333333334,0.07436666666666666,0.7188545454545454,0.48242500000000005,0.8549428571428571
VIP_RELN,0.09276666666666666,0.8786,0.8341333333333334,0.8604,0.34385,0.46295714285714284,0.8479333333333332
