region,region_name,age_t,age_p,age_p_fdr,age_estimate,age_ci_low,age_ci_high,sex_t,sex_p,sex_p_fdr,sex_estimate,sex_ci_low,sex_ci_high,intercept
98,24c,-11.8165473118464,2.05433518593413e-17,2.876069260307782e-15,-0.0004570038080939,-0.0005321317643249,-0.0003818758516333,0.418652142032331,0.67694077809041,0.7284659026007402,0.0002167363040527,-0.0007889225910388,0.0012223952022158,0.0449845954357073
131,V2,-0.42783551360478,0.670277580876391,0.7452547779634788,-1.3215101523281e-05,-7.35745481952171e-05,4.71443453359149e-05,2.66035177079892,0.0099604070948856,0.044982483654322065,0.001099972589904,0.0002920041918046,0.0019079409905081,0.0435108323229324
151,CM,-0.10990270848841,0.912847309360122,0.9396957596354197,-3.45850139497097e-06,-6.48282035501957e-05,5.79112009488756e-05,1.83151975061745,0.0719070422724385,0.14063509276220834,0.0007715077460863,-4.99838791043167e-05,0.0015929993738008,0.0411184500368786
20,V4,0.980526064451849,0.330699498528344,0.4409326647044587,3.45688270430409e-05,-3.4159952087952e-05,0.0001032976063866,3.06229857115738,0.0032656292970449,0.020781277344831182,0.0014451807151599,0.0005251808702388,0.002365180562928,0.0440592703453531
129,F5_(6Va/6Vb),-6.34790497784081,3.01841721840132e-08,3.5214867548015396e-07,-0.0001694258599863,-0.0002213067844566,-0.00011754493536,3.38967278637695,0.0012316375974384,0.0086214631820688,0.0012110335729661,0.0005165582298775,0.0019055089181434,0.0430725229735769
18,13l,-1.67720450603112,0.0986201346179682,0.164366891029947,-6.18683406185144e-05,-0.0001339870200282,1.02503390229988e-05,4.62940277298218,1.96752439364659e-05,0.0006886335377763065,0.0022858963785445,0.001320519505685,0.0032512732545067,0.043310781866343
50,1/2,-1.43203520455276,0.157238158783935,0.23657802104703768,-5.23570684889819e-05,-0.0001235763957479,1.88622589843233e-05,1.14431270044285,0.256964411491993,0.3526962510674414,0.0005600353878762,-0.0003933028040996,0.0015133735827626,0.0460616772300694
130,LIPd,-2.91623323507869,0.0049510756519223,0.01386301182538244,-9.27415147200155e-05,-0.0001546178237993,-3.08652054566755e-05,3.75327631890137,0.0003914447922425,0.003914447922425,0.0015977601794236,0.0007694871404223,0.0024260332207488,0.0408643180008983
144,TEad,-1.42642024341939,0.158845242703011,0.23657802104703768,-6.44563401736461e-05,-0.0001523622063313,2.34495262517232e-05,2.59552360980604,0.0118154765432928,0.050126264123060364,0.001569973267438,0.0003932699379841,0.0027466766004757,0.0383190772572644
152,TAa,-2.67845576354949,0.0094921035742937,0.025352037035577923,-0.0001014268543718,-0.0001749948017044,-2.78589079830511e-05,2.431632705589,0.0179828181494331,0.0636207360361993,0.0012325813133852,0.0002478046156826,0.0022173579986678,0.041670067756299
