cell_type,age_effects_r,age_effects_p,similarity_strength_r,similarity_strength_p
PV_CHC,-0.3924182134336539,0.016796640671865627,-0.0014601923820097688,0.9906018796240752
L4,0.22745173535656374,0.06758648270345931,0.07687589984646348,0.4699060187962408
RELN,-0.25085711185545617,0.11517696460707859,-0.09993924826620722,0.3633273345330934
ASC,-0.16792774334213517,0.13877224555088982,-0.0075534059431782525,0.9490101979604079
L5_6,-0.12304238712455276,0.1977604479104179,-0.20713891569892368,0.023195360927814438
OPC,-0.19865081972453225,0.20655868826234752,0.02162262760839021,0.8582283543291341
SST,-0.14890584552229405,0.24375124975005,-0.03680613433673638,0.7378524295140971
VIP,-0.15685608223384612,0.3033393321335733,0.05433131639678149,0.6174765046990602
L6,-0.11477952050588767,0.40311937612477505,0.05360571134623944,0.6140771845630874
LAMP5,-0.11182650814193146,0.4267146570685863,0.021392278663916825,0.8446310737852429
EC,-0.08753673774733248,0.46710657868426314,-0.015573927284724858,0.8732253549290142
VIP_RELN,0.07387718494607326,0.5240951809638073,-0.14923798197537108,0.15596880623875226
MG,-0.09191136644218903,0.5390921815636872,0.046853299083539024,0.6800639872025595
OLG,0.09118084051729769,0.5646870625874825,0.14511452475795658,0.16996600679864027
L4_5,-0.05842798707412999,0.6164767046590682,-0.26747665936519793,0.004799040191961607
VLMC,-0.027636163914868547,0.6754649070185963,-0.0021596318430627814,0.9784043191361728
PVALB,0.04290407680358565,0.7058588282343531,-0.06706288364523999,0.5146970605878824
L2_3_4,0.029324700052422638,0.8150369926014797,0.0537537133978239,0.6010797840431914
L2,0.023567163422476823,0.8350329934013198,0.08977045126335714,0.33893221355728853
L3_4,0.029101808742481795,0.8588282343531294,-0.028501308207875352,0.7908418316336733
L2_3,0.02195777370972991,0.8612277544491101,-0.0534774127231752,0.6020795840831834
L3_4_5,0.025144692009406642,0.9002199560087982,-0.028173921906745444,0.8216356728654269
L4_5_6,0.005637717730316566,0.9650069986002799,0.11322856309092269,0.28374325134973005
