D99,ASC,EC,MG,OLG,OPC,VLMC,L2,L2_3,L2_3_4,L3_4,L3_4_5,L4,L4_5,L4_5_6,L5_6,L6,LAMP5,PVALB,PV_CHC,RELN,SST,VIP,VIP_RELN
2,0.052783259644777945,0.0001807577924959415,0.0025122444648404017,0.06761221388436446,0.008346759890737864,0.00995809783348084,0.04756866854533356,0.10951553780490778,0.03682748155648343,0.11863853313049216,0.005649388731923062,0.09081944373104683,0.11871137522235,0.0839303781204303,0.062243561170467074,0.06438177027084761,0.009221801490727665,0.03530884979065205,0.002581908657287657,0.018468277000404584,0.04631538372142617,0.013117535854960788,0.010751267902429263
3,0.04509771663621172,0.00010696771220748443,0.0015912232909814086,0.0618790260599271,0.007718775485543373,0.006664604730187905,0.061915640195910816,0.13839344738720613,0.03398986053510746,0.11508152829384331,0.003845125001869373,0.11080542256292228,0.11066676488075879,0.07087397624820997,0.04922166374964651,0.052463604336791175,0.009555692675357635,0.0325912173882194,0.002170847026398408,0.019746030382328233,0.04392061549188058,0.013471149911744041,0.01143838558345736
5,0.051572110156955266,0.0007047363597930735,0.003320008635686771,0.02799653176073765,0.011066303991224978,0.014567320919523953,0.07260175052300773,0.13310293612480337,0.04623085869382702,0.0934257848328873,0.0021503171899286367,0.11888927339283052,0.1243513174075018,0.07999446947316172,0.04335460051924529,0.0534539120353831,0.00889073628943224,0.03052636091941202,0.002601636684538468,0.023067929728327632,0.04749023322232443,0.014297830628875755,0.01017893435028396
7,0.0875793973363489,0.000365913156610831,0.01036753943730688,0.08541527797252062,0.01604687015832269,0.005629531787068996,0.09114813504448915,0.05922869777833464,0.03845868363470237,0.051624022678383966,0.0016145908559463188,0.07749374268703585,0.061898822747786526,0.11148007758459626,0.07386645508992126,0.11779197529484664,0.010016456728365784,0.03201952838226112,0.0017130779110679094,0.01856540106259272,0.047991603770737835,0.015680630034171108,0.010710782549257135
8,0.048274943870077566,0.00019755873734972088,0.004143842544896424,0.04664344169208828,0.009347035036220712,0.005865691328304851,0.05319850413848011,0.1349190535321566,0.044812629008751104,0.11016892823045249,0.003329704871979023,0.11541553342994824,0.12495084605764818,0.07472390657109358,0.048505905752124615,0.05294721363463873,0.009187222500585873,0.03136953012134964,0.0024207990375252173,0.017828694825301437,0.047185878738716075,0.013823671050622413,0.009336854522895689
10,0.04421632184181045,0.00016298590171950127,0.0015047212634767368,0.03803132806012985,0.005916461539726075,0.009340470558254946,0.08733762025625919,0.11082441090523412,0.06259077911596113,0.08104710345360654,0.0026735668881682235,0.0972346260116173,0.13113272454573868,0.07104742583453678,0.049843978465533616,0.07340397107847299,0.009518094609752612,0.03256029011738614,0.0017918410999113897,0.01770470923978633,0.053940486655972994,0.015737782762339243,0.010786980237063112
11,0.06738119116328667,0.000187863986473793,0.004451341442812253,0.0774397319058718,0.011543351391897511,0.004708972374858784,0.05786058263965781,0.08936364728968214,0.03634934717139658,0.10379377593062855,0.005751589503453395,0.07766383873604951,0.1224135828939468,0.06694434496234007,0.05551739102229232,0.08907809909296084,0.01101567401804822,0.035012151118008844,0.00265222550431818,0.023224874680819112,0.044347998675919244,0.013029485017379766,0.013194286221711725
14,0.05145596602038111,0.00015444564602958501,0.0023025405097158516,0.03937275883793326,0.011185691294012043,0.0031699101566039275,0.07562042679521408,0.11212024418996669,0.041704311554897205,0.09579492303549693,0.002282427599942303,0.11932888810626988,0.12039042122277022,0.08445626883582495,0.04712806892350421,0.06345816880364323,0.009916046691388977,0.028424503231446966,0.0020674811274025017,0.02068026158716194,0.047515851441916904,0.015600722644164894,0.009749155878271232
15,0.06178183227584499,0.00033227486849935536,0.003758092289756153,0.08150499083226712,0.010062117422795724,0.0166323941918195,0.06344810978314248,0.118523068878136,0.03725086332470935,0.09292037838887389,0.00752696178048208,0.07861134327540273,0.11900380667706396,0.07108972117915914,0.05407047286959068,0.050682633968536346,0.00914492228327775,0.03555680001814772,0.001587640395090177,0.015576183894892442,0.04794713750836986,0.010122679468708894,0.01497192995864328
17,0.0634223300245548,0.0004501667876130051,0.00200502229433278,0.047104652223524425,0.008196842433281686,0.01174476733748863,0.06321921219083723,0.13089770990090466,0.038479417904273366,0.09596126121720745,0.00462479526771054,0.09239658933034539,0.12574480514127503,0.07295477351594899,0.05148280648154574,0.05678522342468014,0.009398474791273826,0.030661967812793733,0.0012624671234549945,0.0226336954123654,0.046186731677914615,0.012289745363096835,0.013890656333033557
