D99,ASC,EC,MG,OLG,OPC,VLMC,L2,L2_3,L2_3_4,L3_4,L3_4_5,L4,L4_5,L4_5_6,L5_6,L6,LAMP5,PVALB,PV_CHC,RELN,SST,VIP,VIP_RELN
2,5278.3259644777945,18.07577924959415,251.22444648404016,6761.221388436446,834.6759890737865,995.809783348084,4756.866854533356,10951.553780490778,3682.7481556483435,11863.853313049216,564.9388731923062,9081.944373104683,11871.137522235,8393.03781204303,6224.356117046707,6438.177027084762,922.1801490727665,3530.884979065205,258.1908657287657,1846.8277000404585,4631.538372142617,1311.7535854960788,1075.1267902429263
3,4509.771663621172,10.696771220748444,159.12232909814085,6187.90260599271,771.8775485543373,666.4604730187905,6191.564019591082,13839.344738720614,3398.9860535107464,11508.152829384331,384.5125001869373,11080.542256292229,11066.676488075878,7087.3976248209965,4922.166374964651,5246.360433679118,955.5692675357637,3259.12173882194,217.0847026398408,1974.603038232823,4392.061549188058,1347.1149911744042,1143.838558345736
5,5157.211015695527,70.47363597930735,332.0008635686771,2799.6531760737653,1106.630399122498,1456.7320919523954,7260.175052300773,13310.293612480336,4623.085869382702,9342.57848328873,215.0317189928637,11888.927339283053,12435.13174075018,7999.446947316172,4335.46005192453,5345.39120353831,889.073628943224,3052.6360919412023,260.1636684538468,2306.792972832763,4749.023322232443,1429.7830628875754,1017.893435028396
7,8757.93973363489,36.5913156610831,1036.753943730688,8541.527797252062,1604.687015832269,562.9531787068996,9114.813504448915,5922.869777833464,3845.868363470237,5162.402267838396,161.4590855946319,7749.374268703586,6189.882274778653,11148.007758459626,7386.645508992126,11779.197529484663,1001.6456728365785,3201.9528382261115,171.30779110679094,1856.540106259272,4799.160377073784,1568.0630034171106,1071.0782549257135
8,4827.494387007757,19.755873734972088,414.3842544896424,4664.344169208828,934.7035036220713,586.5691328304852,5319.850413848011,13491.90535321566,4481.26290087511,11016.89282304525,332.9704871979023,11541.553342994825,12495.084605764818,7472.390657109358,4850.590575212462,5294.721363463873,918.7222500585874,3136.9530121349635,242.07990375252172,1782.8694825301438,4718.587873871607,1382.3671050622413,933.6854522895687
10,4421.632184181045,16.298590171950128,150.47212634767368,3803.132806012985,591.6461539726075,934.0470558254946,8733.762025625918,11082.441090523413,6259.077911596112,8104.710345360653,267.3566888168223,9723.46260116173,13113.272454573867,7104.742583453679,4984.397846553362,7340.397107847299,951.8094609752612,3256.0290117386144,179.18410999113897,1770.4709239786328,5394.048665597299,1573.778276233924,1078.6980237063112
11,6738.119116328667,18.7863986473793,445.13414428122525,7743.97319058718,1154.335139189751,470.8972374858784,5786.0582639657805,8936.364728968214,3634.9347171396585,10379.377593062854,575.1589503453395,7766.383873604951,12241.35828939468,6694.434496234007,5551.739102229232,8907.809909296084,1101.567401804822,3501.2151118008846,265.222550431818,2322.487468081911,4434.799867591924,1302.9485017379766,1319.4286221711725
14,5145.596602038111,15.4445646029585,230.25405097158517,3937.2758837933256,1118.5691294012042,316.99101566039275,7562.042679521408,11212.024418996669,4170.43115548972,9579.492303549692,228.24275999423028,11932.888810626988,12039.042122277022,8445.626883582496,4712.806892350422,6345.816880364323,991.6046691388976,2842.4503231446965,206.74811274025015,2068.026158716194,4751.58514419169,1560.0722644164894,974.9155878271232
15,6178.183227584499,33.22748684993554,375.80922897561527,8150.499083226711,1006.2117422795725,1663.23941918195,6344.810978314248,11852.3068878136,3725.0863324709353,9292.037838887389,752.696178048208,7861.134327540272,11900.380667706397,7108.972117915914,5407.047286959068,5068.263396853635,914.492228327775,3555.680001814772,158.7640395090177,1557.6183894892442,4794.713750836986,1012.2679468708894,1497.192995864328
17,6342.23300245548,45.01667876130051,200.502229433278,4710.465222352443,819.6842433281686,1174.4767337488631,6321.921219083723,13089.770990090465,3847.941790427337,9596.126121720745,462.47952677105394,9239.65893303454,12574.480514127505,7295.477351594899,5148.280648154574,5678.522342468014,939.8474791273826,3066.196781279373,126.24671234549943,2263.36954123654,4618.673167791461,1228.9745363096836,1389.0656333033558
18,5672.209479815697,21.1387657081622,427.9809590115944,5999.895519021934,1013.8750415111012,535.910650094023,5868.338389140195,11203.76870961331,4293.315073036363,10543.558429073384,389.9098216827496,10333.602407664051,9589.707085533071,9126.61804750755,6119.42075196522,6121.443077005541,1006.6644348957899,3287.361096522466,218.4649680698016,1957.711906190605,4874.025712726741,1501.5377537279476,966.5307813584872
20,4403.941199721702,2.2459631332199987,53.93047325079614,7960.126251284945,510.8214684295869,417.6579675457875,6073.214072964012,13083.535023412887,3519.310442350389,10555.537325027422,734.4700006792066,11640.093814264254,11205.491562008989,7576.339679645922,5011.92415642981,5300.558578733096,871.6793163766727,3417.340520388826,118.97030897589894,1289.5243496108396,4234.458181459144,1038.1107633203862,1070.637340400881
